designation,BLS_period,BLS_period_SNR,BLS_duration,BLS_depth,BLS_transit_time,channel,quarter,ra,dec,main_id,main_type,other_types,angDist
Gaia EDR3 2104814389164263168,0.5951714860537374,1497.167118483995,0.051,0.0431604451791308,2455276.8553535114,3,5,281.86328937279256,42.63954171035307,,,,
Gaia EDR3 2104814453586115328,0.5951714860537374,429.9359833801263,0.051,0.0031855231390626,2455276.561353511,3,5,281.8589548316823,42.63824261331463,KIC 7092405,RotV*,*  |Ro*|IR |Ro*|Ro*,0.035033
Gaia EDR3 2100490555389337984,0.5803609432195453,1095.9241530582904,0.051,0.1112632833541065,2455276.824931745,9,5,286.65936381573147,39.71727091966999,,,,
Gaia EDR3 2100240347774313728,1.67273558654763,335.2244536422428,0.099,0.1097965162147659,2455276.539999682,12,5,285.51469969632365,39.09959724890141,,,,
Gaia EDR3 2107265956496766208,0.6045844174951982,15434.251611310436,0.45,0.0508782518299281,2455276.898714235,17,5,285.19178523406384,46.00027435414932,,,,
Gaia EDR3 2107266536313762816,1.6403545707583025,2427.490416323245,0.099,0.1268428136130506,2455277.3412142354,17,5,285.1760349727964,46.016328076525,,,,
Gaia EDR3 2106327622103110784,20.544483254571567,363.5674513102573,0.45,0.0597525983901338,2455296.879920868,18,5,286.15074464365466,45.04802939659376,,,,
Gaia EDR3 2106327626401850880,20.544483254571567,140.25208482725768,0.45,0.0304448764001857,2455296.83961811,18,5,286.1523360730332,45.04753509583272,,,,
Gaia EDR3 2102900959754861440,1.4816479548743682,520.2924057540262,0.099,0.0332210632355648,2455276.734873853,22,5,288.4723971529344,42.70924014297888,,,,
Gaia EDR3 2101136415390982528,0.7526099359464891,527.4043464864491,0.45,0.0150671805152052,2455276.7451684503,27,5,290.6482522475303,40.40227653331936,,,,
Gaia EDR3 2101136419694167040,0.7526099359464891,708.8490248824586,0.45,0.0198449879097049,2455276.7541684504,27,5,290.6480451022372,40.40322828335916,,,,
Gaia EDR3 2101136419694168320,0.7526099359464891,78.47298158223309,0.45,6.76655619601E-4,2455276.7511684503,27,5,290.650614845619,40.40291417143007,,,,
Gaia EDR3 2101033920292227584,3.734360800229064,363.1199290086844,0.051,0.0663863464964152,2455280.0167424018,28,5,289.30971828861607,39.74586580991761,,,,
Gaia EDR3 2052810925146533888,0.8319166225244538,148.70883154826782,0.174,0.0064733703298346,2455277.225089176,29,5,290.55124929336193,38.29694616471366,,,,
Gaia EDR3 2051871182004752512,0.5314084973630645,633.1521742650298,0.45,0.0284813000943116,2455276.7629330326,31,5,292.58067313301086,38.005913731622506,,,,
Gaia EDR3 2051773845167236352,0.8527059064317511,260.51721247491696,0.45,2.18668946432E-4,2455277.1500083283,32,5,291.3099280606991,37.38135859592016,KIC 1867630,RotV*,Ro*|*  |IR |*,0.081999
