,file_name,Kepler_id,quarter,channel
0,kplr100002059-2013131215648_lpd-targ.fits.gz,KIC 100002059,17,53
1,kplr100002059-2010174085026_lpd-targ.fits.gz,KIC 100002059,5,53
2,kplr100002059-2012179063303_lpd-targ.fits.gz,KIC 100002059,13,53
3,kplr100002059-2011177032512_lpd-targ.fits.gz,KIC 100002059,9,53
4,kplr100002060-2012179063303_lpd-targ.fits.gz,KIC 100002060,13,53
5,kplr100002060-2010174085026_lpd-targ.fits.gz,KIC 100002060,5,53
6,kplr100002060-2011177032512_lpd-targ.fits.gz,KIC 100002060,9,53
7,kplr100002060-2013131215648_lpd-targ.fits.gz,KIC 100002060,17,53
8,kplr100002061-2011177032512_lpd-targ.fits.gz,KIC 100002061,9,53
9,kplr100002061-2010174085026_lpd-targ.fits.gz,KIC 100002061,5,53
10,kplr100002061-2012179063303_lpd-targ.fits.gz,KIC 100002061,13,53
11,kplr100002061-2013131215648_lpd-targ.fits.gz,KIC 100002061,17,53
12,kplr100002062-2013131215648_lpd-targ.fits.gz,KIC 100002062,17,53
13,kplr100002062-2011177032512_lpd-targ.fits.gz,KIC 100002062,9,53
14,kplr100002062-2010174085026_lpd-targ.fits.gz,KIC 100002062,5,53
15,kplr100002062-2012179063303_lpd-targ.fits.gz,KIC 100002062,13,53
16,kplr100002063-2013131215648_lpd-targ.fits.gz,KIC 100002063,17,54
17,kplr100002063-2010174085026_lpd-targ.fits.gz,KIC 100002063,5,54
18,kplr100002063-2012179063303_lpd-targ.fits.gz,KIC 100002063,13,54
19,kplr100002063-2011177032512_lpd-targ.fits.gz,KIC 100002063,9,54
20,kplr100002064-2012179063303_lpd-targ.fits.gz,KIC 100002064,13,54
21,kplr100002064-2010174085026_lpd-targ.fits.gz,KIC 100002064,5,54
22,kplr100002064-2011177032512_lpd-targ.fits.gz,KIC 100002064,9,54
23,kplr100002064-2013131215648_lpd-targ.fits.gz,KIC 100002064,17,54
24,kplr100002065-2012179063303_lpd-targ.fits.gz,KIC 100002065,13,54
25,kplr100002065-2011177032512_lpd-targ.fits.gz,KIC 100002065,9,54
26,kplr100002065-2010174085026_lpd-targ.fits.gz,KIC 100002065,5,54
27,kplr100002065-2013131215648_lpd-targ.fits.gz,KIC 100002065,17,54
28,kplr100002066-2013131215648_lpd-targ.fits.gz,KIC 100002066,17,54
29,kplr100002066-2010174085026_lpd-targ.fits.gz,KIC 100002066,5,54
30,kplr100002066-2011177032512_lpd-targ.fits.gz,KIC 100002066,9,54
31,kplr100002066-2012179063303_lpd-targ.fits.gz,KIC 100002066,13,54
32,kplr100002067-2012179063303_lpd-targ.fits.gz,KIC 100002067,13,55
33,kplr100002067-2013131215648_lpd-targ.fits.gz,KIC 100002067,17,55
34,kplr100002067-2010174085026_lpd-targ.fits.gz,KIC 100002067,5,55
35,kplr100002067-2011177032512_lpd-targ.fits.gz,KIC 100002067,9,55
36,kplr100002068-2011177032512_lpd-targ.fits.gz,KIC 100002068,9,55
37,kplr100002068-2012179063303_lpd-targ.fits.gz,KIC 100002068,13,55
38,kplr100002068-2013131215648_lpd-targ.fits.gz,KIC 100002068,17,55
39,kplr100002068-2010174085026_lpd-targ.fits.gz,KIC 100002068,5,55
40,kplr100002069-2013131215648_lpd-targ.fits.gz,KIC 100002069,17,55
41,kplr100002069-2011177032512_lpd-targ.fits.gz,KIC 100002069,9,55
42,kplr100002069-2012179063303_lpd-targ.fits.gz,KIC 100002069,13,55
43,kplr100002069-2010174085026_lpd-targ.fits.gz,KIC 100002069,5,55
44,kplr100002070-2011177032512_lpd-targ.fits.gz,KIC 100002070,9,55
45,kplr100002070-2013131215648_lpd-targ.fits.gz,KIC 100002070,17,55
46,kplr100002070-2010174085026_lpd-targ.fits.gz,KIC 100002070,5,55
47,kplr100002070-2012179063303_lpd-targ.fits.gz,KIC 100002070,13,55
48,kplr100002071-2013131215648_lpd-targ.fits.gz,KIC 100002071,17,56
49,kplr100002071-2012179063303_lpd-targ.fits.gz,KIC 100002071,13,56
50,kplr100002071-2010174085026_lpd-targ.fits.gz,KIC 100002071,5,56
51,kplr100002071-2011177032512_lpd-targ.fits.gz,KIC 100002071,9,56
52,kplr100002072-2011177032512_lpd-targ.fits.gz,KIC 100002072,9,56
53,kplr100002072-2012179063303_lpd-targ.fits.gz,KIC 100002072,13,56
54,kplr100002072-2010174085026_lpd-targ.fits.gz,KIC 100002072,5,56
55,kplr100002072-2013131215648_lpd-targ.fits.gz,KIC 100002072,17,56
56,kplr100002073-2011177032512_lpd-targ.fits.gz,KIC 100002073,9,56
57,kplr100002073-2012179063303_lpd-targ.fits.gz,KIC 100002073,13,56
58,kplr100002073-2010174085026_lpd-targ.fits.gz,KIC 100002073,5,56
59,kplr100002073-2013131215648_lpd-targ.fits.gz,KIC 100002073,17,56
60,kplr100002074-2013131215648_lpd-targ.fits.gz,KIC 100002074,17,56
61,kplr100002074-2010174085026_lpd-targ.fits.gz,KIC 100002074,5,56
62,kplr100002074-2012179063303_lpd-targ.fits.gz,KIC 100002074,13,56
63,kplr100002074-2011177032512_lpd-targ.fits.gz,KIC 100002074,9,56
64,kplr100002075-2010174085026_lpd-targ.fits.gz,KIC 100002075,5,33
65,kplr100002075-2012179063303_lpd-targ.fits.gz,KIC 100002075,13,33
66,kplr100002075-2011177032512_lpd-targ.fits.gz,KIC 100002075,9,33
67,kplr100002075-2013131215648_lpd-targ.fits.gz,KIC 100002075,17,33
68,kplr100002076-2012179063303_lpd-targ.fits.gz,KIC 100002076,13,33
69,kplr100002076-2010174085026_lpd-targ.fits.gz,KIC 100002076,5,33
70,kplr100002076-2011177032512_lpd-targ.fits.gz,KIC 100002076,9,33
71,kplr100002076-2013131215648_lpd-targ.fits.gz,KIC 100002076,17,33
72,kplr100002077-2010174085026_lpd-targ.fits.gz,KIC 100002077,5,33
73,kplr100002077-2012179063303_lpd-targ.fits.gz,KIC 100002077,13,33
74,kplr100002077-2013131215648_lpd-targ.fits.gz,KIC 100002077,17,33
75,kplr100002077-2011177032512_lpd-targ.fits.gz,KIC 100002077,9,33
76,kplr100002078-2011177032512_lpd-targ.fits.gz,KIC 100002078,9,33
77,kplr100002078-2010174085026_lpd-targ.fits.gz,KIC 100002078,5,33
78,kplr100002078-2012179063303_lpd-targ.fits.gz,KIC 100002078,13,33
79,kplr100002078-2013131215648_lpd-targ.fits.gz,KIC 100002078,17,33
80,kplr100002079-2010174085026_lpd-targ.fits.gz,KIC 100002079,5,34
81,kplr100002079-2013131215648_lpd-targ.fits.gz,KIC 100002079,17,34
82,kplr100002079-2012179063303_lpd-targ.fits.gz,KIC 100002079,13,34
83,kplr100002079-2011177032512_lpd-targ.fits.gz,KIC 100002079,9,34
84,kplr100002080-2012179063303_lpd-targ.fits.gz,KIC 100002080,13,34
85,kplr100002080-2013131215648_lpd-targ.fits.gz,KIC 100002080,17,34
